state,county,candidate,party,total_votes,won
Vermont,Pomfret,Alyson Kennedy,SWP,0,FALSE
Vermont,Pomfret,Kyle Kopitke,IAP,0,FALSE
Vermont,Pomfret,Christopher LaFontaine,IND,0,FALSE
Vermont,Pomfret,Keith McCormic,BMP,0,FALSE
Vermont,Pomfret,Brock Pierce,IND,0,FALSE
Vermont,Pomfret,Zachary Scalf,IND,0,FALSE
Vermont,Pomfret,Jerome Segal,BAR,0,FALSE
Vermont,Pomfret,Gary Swing,BFP,0,FALSE
Vermont,Poultney,Joe Biden,DEM,844,TRUE
Vermont,Poultney,Donald Trump,REP,755,FALSE
Vermont,Poultney,Jo Jorgensen,LIB,19,FALSE
Vermont,Poultney,Brooke Paige,GOP,16,FALSE
Vermont,Poultney,Howie Hawkins,GRN,11,FALSE
Vermont,Poultney,Kanye West,IND,7,FALSE
Vermont,Poultney,Don Blankenship,CST,3,FALSE
Vermont,Poultney, Write-ins,WRI,3,FALSE
Vermont,Poultney,Christopher LaFontaine,IND,2,FALSE
Vermont,Poultney,Brian Carroll,ASP,1,FALSE
Vermont,Poultney,Richard Duncan,IND,1,FALSE
Vermont,Poultney,Kyle Kopitke,IAP,1,FALSE
Vermont,Poultney,Keith McCormic,BMP,1,FALSE
Vermont,Poultney,Phil Collins,PRO,0,FALSE
Vermont,Poultney,Rocky De La Fuente,ALI,0,FALSE
Vermont,Poultney,Blake Huber,APV,0,FALSE
Vermont,Poultney,Alyson Kennedy,SWP,0,FALSE
Vermont,Poultney,Gloria La Riva,PSL,0,FALSE
Vermont,Poultney,Brock Pierce,IND,0,FALSE
Vermont,Poultney,Zachary Scalf,IND,0,FALSE
Vermont,Poultney,Jerome Segal,BAR,0,FALSE
Vermont,Poultney,Gary Swing,BFP,0,FALSE
Vermont,Pownal,Joe Biden,DEM,892,TRUE
Vermont,Pownal,Donald Trump,REP,831,FALSE
Vermont,Pownal,Jo Jorgensen,LIB,21,FALSE
Vermont,Pownal,Christopher LaFontaine,IND,7,FALSE
Vermont,Pownal,Howie Hawkins,GRN,5,FALSE
Vermont,Pownal,Kanye West,IND,5,FALSE
Vermont,Pownal,Don Blankenship,CST,2,FALSE
Vermont,Pownal,Brian Carroll,ASP,2,FALSE
Vermont,Pownal,Richard Duncan,IND,2,FALSE
Vermont,Pownal,Alyson Kennedy,SWP,2,FALSE
Vermont,Pownal,Keith McCormic,BMP,2,FALSE
Vermont,Pownal,Brooke Paige,GOP,2,FALSE
Vermont,Pownal,Phil Collins,PRO,1,FALSE
Vermont,Pownal,Kyle Kopitke,IAP,1,FALSE
Vermont,Pownal,Zachary Scalf,IND,1,FALSE
Vermont,Pownal,Jerome Segal,BAR,1,FALSE
Vermont,Pownal, Write-ins,WRI,1,FALSE
Vermont,Pownal,Rocky De La Fuente,ALI,0,FALSE
Vermont,Pownal,Blake Huber,APV,0,FALSE
Vermont,Pownal,Gloria La Riva,PSL,0,FALSE
Vermont,Pownal,Brock Pierce,IND,0,FALSE
Vermont,Pownal,Gary Swing,BFP,0,FALSE
Vermont,Proctor,Joe Biden,DEM,534,TRUE
Vermont,Proctor,Donald Trump,REP,392,FALSE
Vermont,Proctor,Jo Jorgensen,LIB,12,FALSE
Vermont,Proctor,Howie Hawkins,GRN,5,FALSE
Vermont,Proctor,Brian Carroll,ASP,4,FALSE
Vermont,Proctor, Write-ins,WRI,3,FALSE
Vermont,Proctor,Don Blankenship,CST,1,FALSE
Vermont,Proctor,Keith McCormic,BMP,1,FALSE
Vermont,Proctor,Brooke Paige,GOP,1,FALSE
Vermont,Proctor,Gary Swing,BFP,1,FALSE
Vermont,Proctor,Kanye West,IND,1,FALSE
Vermont,Proctor,Phil Collins,PRO,0,FALSE
Vermont,Proctor,Rocky De La Fuente,ALI,0,FALSE
Vermont,Proctor,Richard Duncan,IND,0,FALSE
Vermont,Proctor,Blake Huber,APV,0,FALSE
Vermont,Proctor,Alyson Kennedy,SWP,0,FALSE
Vermont,Proctor,Kyle Kopitke,IAP,0,FALSE
Vermont,Proctor,Christopher LaFontaine,IND,0,FALSE
Vermont,Proctor,Gloria La Riva,PSL,0,FALSE
Vermont,Proctor,Brock Pierce,IND,0,FALSE
Vermont,Proctor,Zachary Scalf,IND,0,FALSE
Vermont,Proctor,Jerome Segal,BAR,0,FALSE
Vermont,Putney,Joe Biden,DEM,1234,TRUE
Vermont,Putney,Donald Trump,REP,235,FALSE
Vermont,Putney, Write-ins,WRI,12,FALSE
Vermont,Putney,Howie Hawkins,GRN,11,FALSE
Vermont,Putney,Jo Jorgensen,LIB,8,FALSE
Vermont,Putney,Brooke Paige,GOP,6,FALSE
Vermont,Putney,Gloria La Riva,PSL,2,FALSE
Vermont,Putney,Keith McCormic,BMP,2,FALSE
Vermont,Putney,Don Blankenship,CST,1,FALSE
Vermont,Putney,Richard Duncan,IND,1,FALSE
Vermont,Putney,Alyson Kennedy,SWP,1,FALSE
Vermont,Putney,Christopher LaFontaine,IND,1,FALSE
Vermont,Putney,Jerome Segal,BAR,1,FALSE
Vermont,Putney,Brian Carroll,ASP,0,FALSE
Vermont,Putney,Phil Collins,PRO,0,FALSE
Vermont,Putney,Rocky De La Fuente,ALI,0,FALSE
Vermont,Putney,Blake Huber,APV,0,FALSE
Vermont,Putney,Kyle Kopitke,IAP,0,FALSE
Vermont,Putney,Brock Pierce,IND,0,FALSE
Vermont,Putney,Zachary Scalf,IND,0,FALSE
Vermont,Putney,Gary Swing,BFP,0,FALSE
Vermont,Putney,Kanye West,IND,0,FALSE
Vermont,Randolph,Joe Biden,DEM,1685,TRUE
Vermont,Randolph,Donald Trump,REP,801,FALSE
Vermont,Randolph,Jo Jorgensen,LIB,23,FALSE
Vermont,Randolph,Kanye West,IND,17,FALSE
Vermont,Randolph, Write-ins,WRI,13,FALSE
Vermont,Randolph,Howie Hawkins,GRN,11,FALSE
Vermont,Randolph,Brooke Paige,GOP,10,FALSE
Vermont,Randolph,Christopher LaFontaine,IND,8,FALSE
Vermont,Randolph,Phil Collins,PRO,5,FALSE
Vermont,Randolph,Alyson Kennedy,SWP,4,FALSE
Vermont,Randolph,Don Blankenship,CST,2,FALSE
Vermont,Randolph,Richard Duncan,IND,2,FALSE
Vermont,Randolph,Keith McCormic,BMP,2,FALSE
Vermont,Randolph,Brian Carroll,ASP,1,FALSE
Vermont,Randolph,Brock Pierce,IND,1,FALSE
Vermont,Randolph,Gary Swing,BFP,1,FALSE
Vermont,Randolph,Rocky De La Fuente,ALI,0,FALSE
Vermont,Randolph,Blake Huber,APV,0,FALSE
Vermont,Randolph,Kyle Kopitke,IAP,0,FALSE
Vermont,Randolph,Gloria La Riva,PSL,0,FALSE
Vermont,Randolph,Zachary Scalf,IND,0,FALSE
Vermont,Randolph,Jerome Segal,BAR,0,FALSE
Vermont,Reading,Joe Biden,DEM,312,TRUE
Vermont,Reading,Donald Trump,REP,120,FALSE
Vermont,Reading,Jo Jorgensen,LIB,6,FALSE
Vermont,Reading, Write-ins,WRI,3,FALSE
Vermont,Reading,Howie Hawkins,GRN,2,FALSE
Vermont,Reading,Don Blankenship,CST,1,FALSE
Vermont,Reading,Christopher LaFontaine,IND,1,FALSE
Vermont,Reading,Brian Carroll,ASP,0,FALSE
Vermont,Reading,Phil Collins,PRO,0,FALSE
Vermont,Reading,Rocky De La Fuente,ALI,0,FALSE
Vermont,Reading,Richard Duncan,IND,0,FALSE
Vermont,Reading,Blake Huber,APV,0,FALSE
Vermont,Reading,Alyson Kennedy,SWP,0,FALSE
Vermont,Reading,Kyle Kopitke,IAP,0,FALSE
Vermont,Reading,Gloria La Riva,PSL,0,FALSE
Vermont,Reading,Keith McCormic,BMP,0,FALSE
Vermont,Reading,Brooke Paige,GOP,0,FALSE
Vermont,Reading,Brock Pierce,IND,0,FALSE
Vermont,Reading,Zachary Scalf,IND,0,FALSE
Vermont,Reading,Jerome Segal,BAR,0,FALSE
Vermont,Reading,Gary Swing,BFP,0,FALSE
Vermont,Reading,Kanye West,IND,0,FALSE
Vermont,Readsboro,Donald Trump,REP,212,TRUE
Vermont,Readsboro,Joe Biden,DEM,203,FALSE
Vermont,Readsboro,Jo Jorgensen,LIB,5,FALSE
Vermont,Readsboro,Brooke Paige,GOP,4,FALSE
Vermont,Readsboro,Christopher LaFontaine,IND,2,FALSE
Vermont,Readsboro,Brock Pierce,IND,2,FALSE
Vermont,Readsboro,Howie Hawkins,GRN,1,FALSE
Vermont,Readsboro,Kanye West,IND,1,FALSE
Vermont,Readsboro, Write-ins,WRI,1,FALSE
Vermont,Readsboro,Don Blankenship,CST,0,FALSE
Vermont,Readsboro,Brian Carroll,ASP,0,FALSE
Vermont,Readsboro,Phil Collins,PRO,0,FALSE
Vermont,Readsboro,Rocky De La Fuente,ALI,0,FALSE
Vermont,Readsboro,Richard Duncan,IND,0,FALSE
Vermont,Readsboro,Blake Huber,APV,0,FALSE
Vermont,Readsboro,Alyson Kennedy,SWP,0,FALSE
Vermont,Readsboro,Kyle Kopitke,IAP,0,FALSE
Vermont,Readsboro,Gloria La Riva,PSL,0,FALSE
Vermont,Readsboro,Keith McCormic,BMP,0,FALSE
Vermont,Readsboro,Zachary Scalf,IND,0,FALSE
Vermont,Readsboro,Jerome Segal,BAR,0,FALSE
Vermont,Readsboro,Gary Swing,BFP,0,FALSE
Vermont,Richford,Donald Trump,REP,478,TRUE
Vermont,Richford,Joe Biden,DEM,434,FALSE
Vermont,Richford,Jo Jorgensen,LIB,8,FALSE
Vermont,Richford,Brooke Paige,GOP,6,FALSE
Vermont,Richford,Christopher LaFontaine,IND,5,FALSE
Vermont,Richford,Kanye West,IND,4,FALSE
Vermont,Richford,Richard Duncan,IND,2,FALSE
Vermont,Richford,Don Blankenship,CST,1,FALSE
Vermont,Richford,Howie Hawkins,GRN,1,FALSE
Vermont,Richford,Kyle Kopitke,IAP,1,FALSE
Vermont,Richford,Keith McCormic,BMP,1,FALSE
Vermont,Richford, Write-ins,WRI,1,FALSE
Vermont,Richford,Brian Carroll,ASP,0,FALSE
Vermont,Richford,Phil Collins,PRO,0,FALSE
Vermont,Richford,Rocky De La Fuente,ALI,0,FALSE
Vermont,Richford,Blake Huber,APV,0,FALSE
Vermont,Richford,Alyson Kennedy,SWP,0,FALSE
Vermont,Richford,Gloria La Riva,PSL,0,FALSE
Vermont,Richford,Brock Pierce,IND,0,FALSE
Vermont,Richford,Zachary Scalf,IND,0,FALSE
Vermont,Richford,Jerome Segal,BAR,0,FALSE
Vermont,Richford,Gary Swing,BFP,0,FALSE
Vermont,Bennington,Joe Biden,DEM,4369,TRUE
Vermont,Bennington,Donald Trump,REP,2473,FALSE
Vermont,Bennington,Jo Jorgensen,LIB,63,FALSE
Vermont,Bennington,Howie Hawkins,GRN,35,FALSE
Vermont,Bennington, Write-ins,WRI,34,FALSE
Vermont,Bennington,Kanye West,IND,31,FALSE
Vermont,Bennington,Christopher LaFontaine,IND,24,FALSE
Vermont,Bennington,Brooke Paige,GOP,23,FALSE
Vermont,Bennington,Alyson Kennedy,SWP,8,FALSE
Vermont,Bennington,Brian Carroll,ASP,6,FALSE
Vermont,Bennington,Phil Collins,PRO,5,FALSE
Vermont,Bennington,Keith McCormic,BMP,4,FALSE
Vermont,Bennington,Gary Swing,BFP,4,FALSE
Vermont,Bennington,Don Blankenship,CST,3,FALSE
Vermont,Bennington,Richard Duncan,IND,3,FALSE
Vermont,Bennington,Blake Huber,APV,3,FALSE
Vermont,Bennington,Gloria La Riva,PSL,3,FALSE
Vermont,Bennington,Brock Pierce,IND,2,FALSE
Vermont,Bennington,Jerome Segal,BAR,2,FALSE
Vermont,Bennington,Zachary Scalf,IND,1,FALSE
Vermont,Bennington,Rocky De La Fuente,ALI,0,FALSE
Vermont,Bennington,Kyle Kopitke,IAP,0,FALSE
Vermont,Richmond,Joe Biden,DEM,2287,TRUE
Vermont,Richmond,Donald Trump,REP,572,FALSE
Vermont,Richmond,Jo Jorgensen,LIB,31,FALSE
Vermont,Richmond, Write-ins,WRI,15,FALSE
Vermont,Richmond,Kanye West,IND,11,FALSE
Vermont,Richmond,Brooke Paige,GOP,7,FALSE
Vermont,Richmond,Don Blankenship,CST,4,FALSE
Vermont,Richmond,Howie Hawkins,GRN,4,FALSE
Vermont,Richmond,Christopher LaFontaine,IND,4,FALSE
Vermont,Richmond,Alyson Kennedy,SWP,3,FALSE
Vermont,Richmond,Brian Carroll,ASP,2,FALSE
Vermont,Richmond,Richard Duncan,IND,1,FALSE
Vermont,Richmond,Phil Collins,PRO,0,FALSE
Vermont,Richmond,Rocky De La Fuente,ALI,0,FALSE
Vermont,Richmond,Blake Huber,APV,0,FALSE
Vermont,Richmond,Kyle Kopitke,IAP,0,FALSE
Vermont,Richmond,Gloria La Riva,PSL,0,FALSE
Vermont,Richmond,Keith McCormic,BMP,0,FALSE
Vermont,Richmond,Brock Pierce,IND,0,FALSE
Vermont,Richmond,Zachary Scalf,IND,0,FALSE
Vermont,Richmond,Jerome Segal,BAR,0,FALSE
Vermont,Richmond,Gary Swing,BFP,0,FALSE
Vermont,Ripton,Joe Biden,DEM,280,TRUE
Vermont,Ripton,Donald Trump,REP,76,FALSE
Vermont,Ripton,Jo Jorgensen,LIB,4,FALSE
Vermont,Ripton,Howie Hawkins,GRN,3,FALSE
Vermont,Ripton, Write-ins,WRI,3,FALSE
Vermont,Ripton,Kanye West,IND,2,FALSE
Vermont,Ripton,Christopher LaFontaine,IND,1,FALSE
Vermont,Ripton,Don Blankenship,CST,0,FALSE
Vermont,Ripton,Brian Carroll,ASP,0,FALSE
Vermont,Ripton,Phil Collins,PRO,0,FALSE
Vermont,Ripton,Rocky De La Fuente,ALI,0,FALSE
Vermont,Ripton,Richard Duncan,IND,0,FALSE
Vermont,Ripton,Blake Huber,APV,0,FALSE
Vermont,Ripton,Alyson Kennedy,SWP,0,FALSE
Vermont,Ripton,Kyle Kopitke,IAP,0,FALSE
Vermont,Ripton,Gloria La Riva,PSL,0,FALSE
Vermont,Ripton,Keith McCormic,BMP,0,FALSE
Vermont,Ripton,Brooke Paige,GOP,0,FALSE
Vermont,Ripton,Brock Pierce,IND,0,FALSE
Vermont,Ripton,Zachary Scalf,IND,0,FALSE
Vermont,Ripton,Jerome Segal,BAR,0,FALSE
Vermont,Ripton,Gary Swing,BFP,0,FALSE
Vermont,Rochester,Joe Biden,DEM,526,TRUE
Vermont,Rochester,Donald Trump,REP,183,FALSE
Vermont,Rochester, Write-ins,WRI,14,FALSE
Vermont,Rochester,Jo Jorgensen,LIB,5,FALSE
Vermont,Rochester,Howie Hawkins,GRN,1,FALSE
Vermont,Rochester,Christopher LaFontaine,IND,1,FALSE
Vermont,Rochester,Brooke Paige,GOP,1,FALSE
Vermont,Rochester,Brock Pierce,IND,1,FALSE
Vermont,Rochester,Don Blankenship,CST,0,FALSE
Vermont,Rochester,Brian Carroll,ASP,0,FALSE
Vermont,Rochester,Phil Collins,PRO,0,FALSE
Vermont,Rochester,Rocky De La Fuente,ALI,0,FALSE
Vermont,Rochester,Richard Duncan,IND,0,FALSE
Vermont,Rochester,Blake Huber,APV,0,FALSE
Vermont,Rochester,Alyson Kennedy,SWP,0,FALSE
Vermont,Rochester,Kyle Kopitke,IAP,0,FALSE
Vermont,Rochester,Gloria La Riva,PSL,0,FALSE
Vermont,Rochester,Keith McCormic,BMP,0,FALSE
Vermont,Rochester,Zachary Scalf,IND,0,FALSE
Vermont,Rochester,Jerome Segal,BAR,0,FALSE
Vermont,Rochester,Gary Swing,BFP,0,FALSE
Vermont,Rochester,Kanye West,IND,0,FALSE
Vermont,Rockingham,Joe Biden,DEM,1703,TRUE
Vermont,Rockingham,Donald Trump,REP,718,FALSE
Vermont,Rockingham,Jo Jorgensen,LIB,26,FALSE
Vermont,Rockingham,Howie Hawkins,GRN,20,FALSE
Vermont,Rockingham,Christopher LaFontaine,IND,13,FALSE
Vermont,Rockingham,Kanye West,IND,9,FALSE
Vermont,Rockingham, Write-ins,WRI,9,FALSE
Vermont,Rockingham,Brooke Paige,GOP,7,FALSE
Vermont,Rockingham,Alyson Kennedy,SWP,5,FALSE
Vermont,Rockingham,Brian Carroll,ASP,2,FALSE
Vermont,Rockingham,Kyle Kopitke,IAP,2,FALSE
Vermont,Rockingham,Don Blankenship,CST,1,FALSE
Vermont,Rockingham,Phil Collins,PRO,1,FALSE
Vermont,Rockingham,Richard Duncan,IND,1,FALSE
Vermont,Rockingham,Keith McCormic,BMP,1,FALSE
Vermont,Rockingham,Jerome Segal,BAR,1,FALSE
Vermont,Rockingham,Rocky De La Fuente,ALI,0,FALSE
Vermont,Rockingham,Blake Huber,APV,0,FALSE
Vermont,Rockingham,Gloria La Riva,PSL,0,FALSE
Vermont,Rockingham,Brock Pierce,IND,0,FALSE
Vermont,Rockingham,Zachary Scalf,IND,0,FALSE
Vermont,Rockingham,Gary Swing,BFP,0,FALSE
Vermont,Roxbury,Joe Biden,DEM,281,TRUE
Vermont,Roxbury,Donald Trump,REP,134,FALSE
Vermont,Roxbury,Jo Jorgensen,LIB,7,FALSE
Vermont,Roxbury,Richard Duncan,IND,2,FALSE
Vermont,Roxbury,Christopher LaFontaine,IND,2,FALSE
Vermont,Roxbury,Brooke Paige,GOP,2,FALSE
Vermont,Roxbury,Brian Carroll,ASP,1,FALSE
Vermont,Roxbury,Phil Collins,PRO,1,FALSE
Vermont,Roxbury,Howie Hawkins,GRN,1,FALSE
Vermont,Roxbury,Alyson Kennedy,SWP,1,FALSE
Vermont,Roxbury, Write-ins,WRI,1,FALSE
Vermont,Roxbury,Don Blankenship,CST,0,FALSE
Vermont,Roxbury,Rocky De La Fuente,ALI,0,FALSE
Vermont,Roxbury,Blake Huber,APV,0,FALSE
Vermont,Roxbury,Kyle Kopitke,IAP,0,FALSE
Vermont,Roxbury,Gloria La Riva,PSL,0,FALSE
Vermont,Roxbury,Keith McCormic,BMP,0,FALSE
Vermont,Roxbury,Brock Pierce,IND,0,FALSE
Vermont,Roxbury,Zachary Scalf,IND,0,FALSE
Vermont,Roxbury,Jerome Segal,BAR,0,FALSE
Vermont,Roxbury,Gary Swing,BFP,0,FALSE
Vermont,Roxbury,Kanye West,IND,0,FALSE
Vermont,Royalton,Joe Biden,DEM,930,TRUE
Vermont,Royalton,Donald Trump,REP,492,FALSE
Vermont,Royalton,Jo Jorgensen,LIB,17,FALSE
Vermont,Royalton, Write-ins,WRI,12,FALSE
Vermont,Royalton,Howie Hawkins,GRN,7,FALSE
Vermont,Royalton,Christopher LaFontaine,IND,7,FALSE
Vermont,Royalton,Brooke Paige,GOP,6,FALSE
Vermont,Royalton,Kanye West,IND,4,FALSE
Vermont,Royalton,Richard Duncan,IND,3,FALSE
Vermont,Royalton,Brian Carroll,ASP,2,FALSE
Vermont,Royalton,Alyson Kennedy,SWP,2,FALSE
Vermont,Royalton,Kyle Kopitke,IAP,1,FALSE
Vermont,Royalton,Gloria La Riva,PSL,1,FALSE
Vermont,Royalton,Brock Pierce,IND,1,FALSE
Vermont,Royalton,Gary Swing,BFP,1,FALSE
Vermont,Royalton,Don Blankenship,CST,0,FALSE
Vermont,Royalton,Phil Collins,PRO,0,FALSE
Vermont,Royalton,Rocky De La Fuente,ALI,0,FALSE
Vermont,Royalton,Blake Huber,APV,0,FALSE
Vermont,Royalton,Keith McCormic,BMP,0,FALSE
Vermont,Royalton,Zachary Scalf,IND,0,FALSE
Vermont,Royalton,Jerome Segal,BAR,0,FALSE
Vermont,Rupert,Joe Biden,DEM,269,TRUE
Vermont,Rupert,Donald Trump,REP,154,FALSE
Vermont,Rupert,Jo Jorgensen,LIB,3,FALSE
Vermont,Rupert,Christopher LaFontaine,IND,3,FALSE
Vermont,Rupert, Write-ins,WRI,3,FALSE
Vermont,Rupert,Brooke Paige,GOP,2,FALSE
Vermont,Rupert,Howie Hawkins,GRN,1,FALSE
Vermont,Rupert,Zachary Scalf,IND,1,FALSE
Vermont,Rupert,Kanye West,IND,1,FALSE
Vermont,Rupert,Don Blankenship,CST,0,FALSE
Vermont,Rupert,Brian Carroll,ASP,0,FALSE
Vermont,Rupert,Phil Collins,PRO,0,FALSE
Vermont,Rupert,Rocky De La Fuente,ALI,0,FALSE
Vermont,Rupert,Richard Duncan,IND,0,FALSE
Vermont,Rupert,Blake Huber,APV,0,FALSE
Vermont,Rupert,Alyson Kennedy,SWP,0,FALSE
Vermont,Rupert,Kyle Kopitke,IAP,0,FALSE
Vermont,Rupert,Gloria La Riva,PSL,0,FALSE
Vermont,Rupert,Keith McCormic,BMP,0,FALSE
Vermont,Rupert,Brock Pierce,IND,0,FALSE
Vermont,Rupert,Jerome Segal,BAR,0,FALSE
Vermont,Rupert,Gary Swing,BFP,0,FALSE
Vermont,Rutland,Joe Biden,DEM,4679,TRUE
Vermont,Rutland,Donald Trump,REP,3026,FALSE
Vermont,Rutland,Jo Jorgensen,LIB,100,FALSE
Vermont,Rutland, Write-ins,WRI,64,FALSE
Vermont,Rutland,Christopher LaFontaine,IND,31,FALSE
Vermont,Rutland,Kanye West,IND,28,FALSE
Vermont,Rutland,Brooke Paige,GOP,21,FALSE
Vermont,Rutland,Howie Hawkins,GRN,18,FALSE
Vermont,Rutland,Gloria La Riva,PSL,7,FALSE
Vermont,Rutland,Alyson Kennedy,SWP,6,FALSE
Vermont,Rutland,Richard Duncan,IND,5,FALSE
Vermont,Rutland,Brian Carroll,ASP,4,FALSE
Vermont,Rutland,Phil Collins,PRO,3,FALSE
Vermont,Rutland,Gary Swing,BFP,2,FALSE
Vermont,Rutland,Don Blankenship,CST,1,FALSE
Vermont,Rutland,Rocky De La Fuente,ALI,1,FALSE
Vermont,Rutland,Blake Huber,APV,1,FALSE
Vermont,Rutland,Kyle Kopitke,IAP,1,FALSE
Vermont,Rutland,Brock Pierce,IND,1,FALSE
Vermont,Rutland,Jerome Segal,BAR,1,FALSE
Vermont,Rutland,Keith McCormic,BMP,0,FALSE
Vermont,Rutland,Zachary Scalf,IND,0,FALSE
Vermont,Rutland Town,Joe Biden,DEM,1376,TRUE
Vermont,Rutland Town,Donald Trump,REP,1039,FALSE
Vermont,Rutland Town,Jo Jorgensen,LIB,28,FALSE
Vermont,Rutland Town, Write-ins,WRI,11,FALSE
Vermont,Rutland Town,Brooke Paige,GOP,10,FALSE
Vermont,Rutland Town,Kanye West,IND,8,FALSE
Vermont,Rutland Town,Don Blankenship,CST,4,FALSE
Vermont,Rutland Town,Christopher LaFontaine,IND,3,FALSE
Vermont,Rutland Town,Richard Duncan,IND,2,FALSE
Vermont,Rutland Town,Keith McCormic,BMP,2,FALSE
Vermont,Rutland Town,Brian Carroll,ASP,1,FALSE
Vermont,Rutland Town,Alyson Kennedy,SWP,1,FALSE
Vermont,Rutland Town,Gary Swing,BFP,1,FALSE
Vermont,Rutland Town,Phil Collins,PRO,0,FALSE
Vermont,Rutland Town,Rocky De La Fuente,ALI,0,FALSE
Vermont,Rutland Town,Howie Hawkins,GRN,0,FALSE
Vermont,Rutland Town,Blake Huber,APV,0,FALSE
Vermont,Rutland Town,Kyle Kopitke,IAP,0,FALSE
Vermont,Rutland Town,Gloria La Riva,PSL,0,FALSE
Vermont,Rutland Town,Brock Pierce,IND,0,FALSE
Vermont,Rutland Town,Zachary Scalf,IND,0,FALSE
Vermont,Rutland Town,Jerome Segal,BAR,0,FALSE
Vermont,Ryegate,Joe Biden,DEM,329,TRUE
Vermont,Ryegate,Donald Trump,REP,298,FALSE
Vermont,Ryegate, Write-ins,WRI,7,FALSE
Vermont,Ryegate,Jo Jorgensen,LIB,4,FALSE
Vermont,Ryegate,Christopher LaFontaine,IND,4,FALSE
Vermont,Ryegate,Howie Hawkins,GRN,3,FALSE
Vermont,Ryegate,Don Blankenship,CST,1,FALSE
Vermont,Ryegate,Rocky De La Fuente,ALI,1,FALSE
Vermont,Ryegate,Richard Duncan,IND,1,FALSE
Vermont,Ryegate,Brian Carroll,ASP,0,FALSE
Vermont,Ryegate,Phil Collins,PRO,0,FALSE
Vermont,Ryegate,Blake Huber,APV,0,FALSE
Vermont,Ryegate,Alyson Kennedy,SWP,0,FALSE
Vermont,Ryegate,Kyle Kopitke,IAP,0,FALSE
Vermont,Ryegate,Gloria La Riva,PSL,0,FALSE
Vermont,Ryegate,Keith McCormic,BMP,0,FALSE
Vermont,Ryegate,Brooke Paige,GOP,0,FALSE
Vermont,Ryegate,Brock Pierce,IND,0,FALSE
Vermont,Ryegate,Zachary Scalf,IND,0,FALSE
Vermont,Ryegate,Jerome Segal,BAR,0,FALSE
Vermont,Ryegate,Gary Swing,BFP,0,FALSE
Vermont,Ryegate,Kanye West,IND,0,FALSE
Vermont,Benson,Donald Trump,REP,305,TRUE
Vermont,Benson,Joe Biden,DEM,258,FALSE
Vermont,Benson,Brooke Paige,GOP,6,FALSE
Vermont,Benson,Jo Jorgensen,LIB,5,FALSE
Vermont,Benson,Richard Duncan,IND,2,FALSE
Vermont,Benson, Write-ins,WRI,2,FALSE
Vermont,Benson,Don Blankenship,CST,1,FALSE
Vermont,Benson,Howie Hawkins,GRN,1,FALSE
Vermont,Benson,Gloria La Riva,PSL,1,FALSE
Vermont,Benson,Zachary Scalf,IND,1,FALSE
Vermont,Benson,Kanye West,IND,1,FALSE
Vermont,Benson,Brian Carroll,ASP,0,FALSE
Vermont,Benson,Phil Collins,PRO,0,FALSE
Vermont,Benson,Rocky De La Fuente,ALI,0,FALSE
Vermont,Benson,Blake Huber,APV,0,FALSE
Vermont,Benson,Alyson Kennedy,SWP,0,FALSE
Vermont,Benson,Kyle Kopitke,IAP,0,FALSE
Vermont,Benson,Christopher LaFontaine,IND,0,FALSE
Vermont,Benson,Keith McCormic,BMP,0,FALSE
Vermont,Benson,Brock Pierce,IND,0,FALSE
Vermont,Benson,Jerome Segal,BAR,0,FALSE
Vermont,Benson,Gary Swing,BFP,0,FALSE
Vermont,St. Albans,Joe Biden,DEM,1982,TRUE
Vermont,St. Albans,Donald Trump,REP,946,FALSE
Vermont,St. Albans,Jo Jorgensen,LIB,54,FALSE
Vermont,St. Albans, Write-ins,WRI,16,FALSE
Vermont,St. Albans,Brooke Paige,GOP,15,FALSE
Vermont,St. Albans,Howie Hawkins,GRN,14,FALSE
Vermont,St. Albans,Kanye West,IND,10,FALSE
Vermont,St. Albans,Christopher LaFontaine,IND,7,FALSE
Vermont,St. Albans,Don Blankenship,CST,3,FALSE
Vermont,St. Albans,Richard Duncan,IND,2,FALSE
Vermont,St. Albans,Gloria La Riva,PSL,2,FALSE
Vermont,St. Albans,Phil Collins,PRO,1,FALSE
Vermont,St. Albans,Rocky De La Fuente,ALI,1,FALSE
Vermont,St. Albans,Blake Huber,APV,1,FALSE
Vermont,St. Albans,Alyson Kennedy,SWP,1,FALSE
Vermont,St. Albans,Brock Pierce,IND,1,FALSE
Vermont,St. Albans,Jerome Segal,BAR,1,FALSE
Vermont,St. Albans,Brian Carroll,ASP,0,FALSE
Vermont,St. Albans,Kyle Kopitke,IAP,0,FALSE
Vermont,St. Albans,Keith McCormic,BMP,0,FALSE
Vermont,St. Albans,Zachary Scalf,IND,0,FALSE
Vermont,St. Albans,Gary Swing,BFP,0,FALSE
Vermont,St. Albans Town,Joe Biden,DEM,2126,TRUE
Vermont,St. Albans Town,Donald Trump,REP,1557,FALSE
Vermont,St. Albans Town,Jo Jorgensen,LIB,34,FALSE
Vermont,St. Albans Town, Write-ins,WRI,26,FALSE
Vermont,St. Albans Town,Brooke Paige,GOP,14,FALSE
Vermont,St. Albans Town,Kanye West,IND,10,FALSE
Vermont,St. Albans Town,Christopher LaFontaine,IND,8,FALSE
Vermont,St. Albans Town,Howie Hawkins,GRN,4,FALSE
Vermont,St. Albans Town,Brian Carroll,ASP,3,FALSE
